,region,value
518,23462,0
519,91752,2
520,90292,2
521,98311,2
522,19464,0
523,33764,0
524,08060,0
525,92651,2
526,38343,0
527,90640,2
528,40031,0
529,22314,0
530,98155,2
531,95818,2
532,48195,0
533,68127,1
534,92024,2
535,75034,1
536,33545,0
538,45237,0
539,95351,2
540,19002,0
541,08807,0
543,95128,2
544,85383,2
545,90201,2
546,96813,2
547,94705,2
549,60411,1
550,48169,0
551,30060,0
552,54113,1
553,80210,2
554,94117,2
555,92562,2
557,77073,1
558,37923,0
560,43606,0
561,91709,2
562,07083,0
563,95402,2
564,11228,0
565,30127,0
566,18018,0
567,58104,1
568,40219,0
569,60193,1
570,21113,0
571,11374,0
572,91354,2
573,55105,1
574,17403,0
575,43615,0
576,29201,0
577,76137,1
578,27615,0
579,60638,1
580,55413,1
581,80129,2
582,02170,0
583,33596,0
584,12979,0
585,37211,0
586,60160,1
587,93725,2
588,89110,2
589,53142,1
590,43201,0
591,30741,0
593,10021,0
594,08831,0
595,33594,0
596,22192,0
597,70056,1
598,94541,2
599,94547,2
600,93529,2
601,07735,0
602,91103,2
610,90250,2
614,74132,1
617,07675,0
620,92324,2
623,60645,1
627,94609,2
628,96816,2
629,76116,1
630,80026,2
631,07931,0
633,43215,0
634,92131,2
637,60015,1
638,74104,1
639,77039,1
640,90211,2
644,11239,0
646,94928,2
647,91006,2
648,84401,2
649,10027,0
650,48310,0
651,90039,2
652,10035,0
653,18428,0
654,89129,2
655,27834,0
656,92555,2
658,10001,0
659,01013,0
660,09603,0
661,90620,2
662,33405,0
663,84081,2
664,34205,0
665,33126,0
666,77578,1
667,95129,2
668,52556,1
670,10549,0
671,92602,2
672,77266,1
673,11428,0
676,10456,0
677,32329,0
678,18062,0
679,42141,0
680,93905,2
681,10069,0
682,02130,0
683,40229,0
684,08077,0
685,87508,2
686,11368,0
687,09583,0
688,19114,0
689,78620,1
690,78610,1
691,12572,0
692,02143,0
693,35601,0
694,55306,1
695,32250,0
696,92168,2
698,24019,0
699,85253,2
700,19720,0
701,42376,0
702,85379,2
703,07002,0
704,97230,2
705,98092,2
706,01128,0
707,01608,0
708,07042,0
711,80231,2
713,97401,2
715,11106,0
716,33618,0
717,77002,1
718,76542,1
719,12309,0
723,94587,2
724,30062,0
726,87031,2
727,33139,0
728,55123,1
729,32246,0
730,92310,2
731,94025,2
733,28315,0
734,44140,0
735,07203,0
737,59801,1
738,97217,2
739,92037,2
741,19958,0
742,95993,2
745,97007,2
746,94536,2
747,07470,0
748,85286,2
750,37122,0
752,93003,2
753,10471,0
754,07631,0
755,29429,0
756,61873,1
757,27262,0
758,31763,0
759,07513,0
760,08753,0
761,75252,1
762,36544,0
763,98074,2
765,28001,0
766,56537,1
767,15213,0
769,79902,1
770,60615,1
772,11548,0
773,33435,0
774,07110,0
775,52246,1
778,19038,0
779,77401,1
781,07649,0
782,90063,2
783,03574,0
785,33024,0
786,30309,0
788,89109,2
789,87105,2
790,91780,2
792,55016,1
793,77494,1
795,02748,0
796,90025,2
797,30046,0
798,03755,0
799,97078,2
800,10705,0
801,63857,1
802,11230,0
803,27106,0
806,90222,2
807,75010,1
808,20815,0
809,46216,0
810,89052,2
811,30088,0
813,10026,0
815,34761,0
816,46033,0
817,94112,2
818,11758,0
819,33605,0
820,02472,0
821,90020,2
822,40065,0
823,22903,0
824,17301,0
826,20772,0
828,75061,1
829,60637,1
830,02864,0
831,60091,1
834,75007,1
837,96019,2
840,91016,2
841,97210,2
842,90094,2
843,95757,2
847,43240,0
850,95135,2
851,50266,1
852,53217,1
855,83209,2
858,07029,0
859,33166,0
860,92663,2
861,75033,1
862,07650,0
863,46038,0
864,80108,2
865,11422,0
866,27613,0
867,33418,0
869,77096,1
870,60026,1
871,93722,2
874,32308,0
875,92054,2
876,32792,0
877,06880,0
880,92648,2
881,32827,0
882,48187,0
883,30030,0
885,11360,0
886,47408,0
888,29073,0
890,84319,2
891,79925,1
893,30044,0
894,60035,1
895,07076,0
896,95123,2
898,94610,2
899,92123,2
902,91803,2
903,80011,2
905,53212,1
906,33004,0
907,39476,0
909,92313,2
911,91343,2
912,32801,0
913,08854,0
914,86327,2
917,07206,0
918,40212,0
919,39401,0
920,11746,0
921,11510,0
922,90631,2
923,92064,2
924,10989,0
925,02021,0
927,63368,1
928,95051,2
929,20105,0
930,20009,0
931,63304,1
932,94116,2
933,63033,1
935,44094,0
936,49015,0
937,73160,1
938,37205,0
939,28269,0
940,90042,2
941,65616,1
943,48197,0
944,98052,2
945,92570,2
946,84098,2
947,46112,0
948,97034,2
950,50310,1
951,60616,1
952,15044,0
954,90401,2
955,42103,0
956,11433,0
957,04619,0
958,22485,0
959,34748,0
960,10550,0
961,92660,2
962,18049,0
963,42718,0
964,35630,0
965,84047,2
966,75703,1
971,66207,1
978,33023,0
979,21212,0
980,70501,1
981,11238,0
984,14810,0
985,90402,2
986,92009,2
989,07506,0
990,30341,0
992,11226,0
994,48864,0
995,77587,1
996,90731,2
998,32796,0
999,29316,0
1000,62236,1
1001,83401,2
1003,72756,1
1004,91325,2
1006,10025,0
1009,60202,1
1011,08527,0
1012,20024,0
1013,30308,0
1014,98012,2
1016,92606,2
1018,91902,2
1019,91362,2
1020,97211,2
1021,43232,0
1022,43607,0
1023,75207,1
1025,95014,2
1026,75214,1
1028,07079,0
1032,10128,0
1033,92231,2
1035,10010,0
1037,07093,0
1038,19134,0
1039,02882,0
1040,95242,2
1041,94551,2
1043,91764,2
1045,97232,2
1047,78702,1
1048,94568,2
1049,02536,0
1050,08535,0
1052,33771,0
1053,19148,0
1054,91763,2
1055,60101,1
1056,91786,2
1061,95901,2
1062,91342,2
1063,02190,0
1065,30078,0
1066,91732,2
1067,89191,2
1068,30673,0
1069,77450,1
1070,48439,0
1071,07024,0
1072,11576,0
1073,39042,0
1074,91789,2
1075,92113,2
1076,07040,0
1077,54904,1
1078,23435,0
1080,92201,2
1082,03063,0
1084,20878,0
1085,95112,2
1086,63110,1
1087,37421,0
1088,30024,0
1090,91706,2
1091,34746,0
1095,94589,2
1096,92807,2
1098,23513,0
1099,48640,0
1101,69361,1
1102,11801,0
1104,30720,0
1107,92395,2
1108,92117,2
1110,92840,2
1113,33322,0
1114,33029,0
1115,30506,0
1117,07648,0
1120,23836,0
1121,92549,2
1122,90623,2
1124,94030,2
1125,77047,1
1126,39402,0
1127,95621,2
1128,60657,1
1129,78258,1
1130,77003,1
1131,30327,0
1132,48009,0
1133,66219,1
1134,47374,0
1135,95035,2
1136,91748,2
1137,22033,0
1138,92509,2
1139,03109,0
1140,28226,0
1143,44146,0
1144,90068,2
1146,92656,2
1147,97128,2
1149,22204,0
1150,85017,2
1151,30305,0
1152,94513,2
1153,60099,1
1154,33876,0
1156,98058,2
1157,56401,1
1160,40347,0
1161,91770,2
1162,44125,0
1163,15239,0
1164,65203,1
1165,19143,0
1166,66061,1
1167,95987,2
1169,77377,1
1170,11215,0
1171,91208,2
1172,27517,0
1173,44074,0
1174,92833,2
1177,70301,1
1178,77044,1
1180,97254,2
1181,33134,0
1183,90018,2
1184,07071,0
1185,18510,0
1186,27587,0
1188,94061,2
1189,95829,2
1190,35453,0
1191,46219,0
1192,93314,2
1193,02719,0
1194,15228,0
1195,13210,0
1196,10803,0
1197,11788,0
1198,07006,0
1199,21209,0
1200,60629,1
1201,22310,0
1202,64111,1
1204,01907,0
1205,07871,0
1207,14618,0
1208,30307,0
1209,31569,0
1210,64157,1
1211,30034,0
1212,95536,2
1213,94591,2
1214,49431,0
1215,21225,0
1218,21208,0
1219,53154,1
1220,60655,1
1221,30068,0
1222,10011,0
1223,27519,0
1224,77098,1
1227,30666,0
1228,33907,0
1229,57069,1
1231,95301,2
1232,74744,1
1234,90027,2
1235,98019,2
1236,65109,1
1237,33178,0
1239,95209,2
1241,77025,1
1242,77084,1
1243,19146,0
1244,94803,2
1245,07087,0
1248,93035,2
1249,39301,0
1250,94114,2
1251,68522,1
1252,11203,0
1255,30458,0
1256,15131,0
1257,10459,0
1259,01887,0
1260,65781,1
1261,07016,0
1262,08610,0
1263,63026,1
1265,31535,0
1266,06475,0
1267,91911,2
1268,28312,0
1270,33065,0
1271,90302,2
1272,03031,0
1274,92071,2
1276,33027,0
1277,53083,1
1278,63136,1
1279,46614,0
1280,90062,2
1281,94404,2
1283,66048,1
1284,60007,1
1286,10538,0
1287,08865,0
1288,17701,0
1290,76052,1
1291,09853,0
1292,94806,2
1294,73401,1
1295,22406,0
1296,95148,2
1297,31546,0
1298,77077,1
1301,08558,0
1302,39762,0
1303,07450,0
1304,03583,0
1305,10307,0
1306,07407,0
1309,98662,2
1311,17363,0
1312,33154,0
1313,90059,2
1314,30281,0
1315,08066,0
1316,11937,0
1317,96379,2
1318,78738,1
1320,60406,1
1321,11209,0
1322,16101,0
1323,75025,1
1324,79845,1
