SKU_1,SKU_2,#-Containing Orders
11060132,11922878,65
11079162,11079164,65
11713856,11924334,65
11922370,12182864,65
11922878,12097020,65
11922878,12694158,65
12042326,12044906,65
10340029,11363313,64
11047547,11047548,64
11054052,12175351,64
11231927,11231933,64
11922352,11922354,64
11922879,12203031,64
9891858,10433700,63
11047548,12162667,63
11916750,11922852,63
11922877,12203050,63
11922880,12057609,63
12044906,12503096,63
12053635,12053636,63
12275489,12668654,63
9891855,10433700,62
10327694,10327695,62
11047548,11919273,62
11054113,11922879,62
11060131,11919630,62
11713856,11713857,62
11916749,11920408,62
11916757,11917849,62
11917830,11919394,62
11922877,12203036,62
11924334,12209091,62
11924335,12209092,62
12053653,12053674,62
9891854,11079164,61
11047547,12008992,61
11054051,11922877,61
11054051,11951975,61
11713857,12008941,61
11916751,11917354,61
11919393,11922350,61
11922877,11922879,61
11922878,11948520,61
9891857,11079160,60
11047551,12008996,60
11054051,12145754,60
11054111,11054112,60
11054111,11922877,60
11054114,11919632,60
11079163,11079165,60
11916750,12203051,60
11919393,11919394,60
11922879,12099610,60
12042325,12044743,60
12097332,12183001,60
9891854,10433697,59
9891854,10433701,59
9891855,11079164,59
10283402,11639276,59
11054113,11519295,59
11916750,12203037,59
10024593,12275745,58
11054112,11951976,58
11897180,12203389,58
11922323,12203037,58
11922368,12056837,58
11922368,12203083,58
11922877,12203029,58
12097333,12183002,58
9891858,11079164,57
11054052,11054053,57
11916763,12203084,57
11922351,11922878,57
12097333,12190106,57
12275145,12668655,57
9791879,9891854,56
9891853,11079161,56
9891859,11079162,56
11047549,11047591,56
11047549,11919739,56
11713857,11924335,56
11916758,11917850,56
11919393,11924333,56
11922350,11922351,56
11922369,11922865,56
11922369,12203090,56
11922877,11922880,56
12182862,12182865,56
10281744,10283402,55
11047549,11924335,55
11047551,11919396,55
11129872,11130573,55
11231927,11231935,55
11917830,11917831,55
11919630,11922879,55
11922323,11922324,55
11922323,12099609,55
12044640,12276095,55
9891853,10433700,54
11047547,11580743,54
11916750,12203030,54
11916763,11916764,54
11922316,12203023,54
11922352,11922877,54
11922879,11948521,54
12044638,12044640,54
12053654,12053675,54
9791879,9891855,53
9891855,10433701,53
9891859,11079165,53
10281745,10724075,53
11047547,12008939,53
11054111,11951975,53
11060131,12201395,53
11916750,12099609,53
12042325,12044639,53
12182862,12182873,53
4212842,4212843,52
9891853,10433695,52
10024593,12042325,52
10432509,10432510,52
11054051,11546037,52
11054052,11951976,52
11054113,11919769,52
11916763,12694012,52
11922323,12693981,52
11922368,12203089,52
11922369,12056838,52
11922878,12203044,52
12042325,12044749,52
9791879,9891856,51
11047548,11917830,51
11054052,11054111,51
11054111,12145754,51
11060131,11060132,51
11916751,11916753,51
11916751,12203024,51
11917831,11917833,51
11919630,11919631,51
11922322,11922323,51
11922351,12097332,51
11922878,12042326,51
11922879,12694159,51
12042326,12044747,51
11129975,11131801,50
11916750,11922879,50
11916751,11922853,50
11919393,12300885,50
11922316,12099609,50
12053634,12053653,50
9791880,9891854,49
9891856,10433697,49
10340029,10340067,49
11054052,11919630,49
11054111,11919629,49
11129976,11131802,49
11713855,12008939,49
11916749,11921105,49
11916750,11948520,49
11922879,12694145,49
12042325,12044906,49
12044640,12275416,49
12275489,12668655,49
9891855,11079159,48
9891858,11079162,48
11054111,12175350,48
11060132,12201396,48
11916750,11948343,48
11916751,11921107,48
11919395,11919396,48
11919395,11924335,48
11922324,12694145,48
11922368,11922864,48
11922369,11922372,48
11922370,11922372,48
11922877,12694143,48
11948520,12158051,48
12044906,12276197,48
9891857,10433701,47
9891858,11079163,47
9891859,10433701,47
10340029,12044638,47
11047548,11919738,47
11054111,12175296,47
11054114,11922880,47
11129872,11131322,47
11916750,11921640,47
11916751,12203052,47
11916763,12694000,47
11917830,11919272,47
11917830,11919274,47
11922323,11948343,47
11922324,11922878,47
11922369,12203084,47
11922877,12097019,47
11922877,12694157,47
11924335,11924337,47
11948342,11948343,47
12182862,12438611,47
12182863,12438612,47
4212843,4212844,46
9891856,10433701,46
9891856,11079159,46
10340028,10340067,46
11047548,11919267,46
11047549,11800280,46
