,1174,1176,1173,46147,1175,1177,103762,103772,46148,876,n_rest,total
12/19/2017,728.0,888.0,53.0,90.0,0.0,581.0,0.0,0.0,57.0,584.0,25803.0,28784.0
12/20/2017,477.0,38.0,29.0,77.0,0.0,387.0,1.0,0.0,55.0,11.0,14930.0,16005.0
12/21/2017,126.0,4.0,31.0,37.0,0.0,136.0,0.0,0.0,30.0,2.0,11474.0,11840.0
12/22/2017,68.0,0.0,27.0,38.0,0.0,102.0,0.0,0.0,30.0,11.0,10944.0,11220.0
12/23/2017,10.0,0.0,92.0,65.0,0.0,71.0,0.0,0.0,54.0,8.0,12019.0,12319.0
12/24/2017,0.0,0.0,64.0,94.0,0.0,56.0,0.0,0.0,45.0,1.0,8408.0,8668.0
12/25/2017,0.0,0.0,60.0,154.0,0.0,55.0,0.0,0.0,98.0,0.0,11984.0,12351.0
12/26/2017,0.0,3.0,188.0,169.0,0.0,177.0,0.0,0.0,108.0,0.0,14246.0,14891.0
12/27/2017,2.0,9.0,174.0,82.0,0.0,337.0,0.0,0.0,63.0,0.0,11331.0,11998.0
12/28/2017,12.0,117.0,6.0,54.0,0.0,78.0,0.0,0.0,33.0,0.0,10932.0,11232.0
12/29/2017,382.0,1780.0,27.0,9.0,0.0,25.0,0.0,0.0,3.0,0.0,2947.0,5173.0
