SKU,Sum,Degrees,DIVISION
11922317,1302,1,APP/FTW
11948530,412,2,APP/FTW
11919632,1301,4,APP/FTW
10433700,884,7,APP/FTW
11922881,2089,1,APP/FTW
12161799,506,2,APP/FTW
12056838,306,2,APP/FTW
12275736,1298,3,HDW
11519296,884,1,APP/FTW
11917359,391,1,APP/FTW
10724073,527,2,APP/FTW
12203073,974,2,APP/FTW
12694159,659,3,APP/FTW
12053655,1304,1,APP/FTW
12275463,1407,5,HDW
12008941,1436,9,APP/FTW
12161798,480,3,APP/FTW
12300885,450,3,APP/FTW
11922522,1135,1,APP/FTW
12182864,793,3,APP/FTW
12175350,1456,3,APP/FTW
10433697,756,5,APP/FTW
12162668,574,1,APP/FTW
12203050,614,2,APP/FTW
12203072,899,2,APP/FTW
12099608,344,3,APP/FTW
11897179,823,2,APP/FTW
11047590,1136,2,APP/FTW
11917352,955,1,APP/FTW
11922315,1113,1,APP/FTW
11920410,349,1,APP/FTW
11922371,1103,3,APP/FTW
12097020,846,2,APP/FTW
11363313,1094,1,HDW
12175351,1629,3,APP/FTW
11231933,943,2,APP/FTW
12203031,425,3,APP/FTW
12162667,521,1,APP/FTW
11922852,695,3,APP/FTW
12057609,458,1,APP/FTW
12503096,912,1,HDW
11920408,210,1,APP/FTW
11917849,431,1,APP/FTW
12203036,437,2,APP/FTW
12053674,1278,1,APP/FTW
12008992,481,1,APP/FTW
11951975,446,2,APP/FTW
11917354,935,1,APP/FTW
12008996,423,1,APP/FTW
12145754,580,2,APP/FTW
11079165,889,9,APP/FTW
12099610,406,3,APP/FTW
12044743,1559,4,HDW
12183001,1107,2,APP/FTW
10433701,722,7,APP/FTW
11639276,787,1,APP/FTW
11519295,1128,3,APP/FTW
12275745,1002,1,HDW
11951976,513,2,APP/FTW
12203389,264,1,APP/FTW
12056837,303,1,APP/FTW
12203083,304,1,APP/FTW
12203029,395,3,APP/FTW
12183002,958,2,APP/FTW
11054053,1616,2,APP/FTW
12203084,352,2,APP/FTW
12190106,875,2,APP/FTW
12668655,603,2,HDW
11047591,1159,2,APP/FTW
11919739,1440,2,APP/FTW
11917850,449,1,APP/FTW
11924333,1182,2,APP/FTW
11922865,267,2,APP/FTW
12203090,464,2,APP/FTW
12182865,1034,3,APP/FTW
11919396,1034,4,APP/FTW
11580743,556,2,APP/FTW
11916764,913,1,APP/FTW
11948521,902,4,APP/FTW
12053675,856,1,APP/FTW
10724075,991,2,APP/FTW
12008939,948,4,APP/FTW
12201395,370,2,APP/FTW
12044639,1645,4,HDW
10433695,558,5,APP/FTW
10432510,1620,2,APP/FTW
